"x","life_expectancy_at_birth","life_expectancy_at_birth_2","neonatal_mortality_rate","neonatal_mortality_rate_2","infant_mortality_rate","infant_mortality_rate_2","under_five_mortality_rate","under_five_mortality_rate_2","under_five_mortality_rate_3","under_five_mortality_rate_4","adult_mortality_rate","adult_mortality_rate_2","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dominican Republic","67","73","24","23","46","27","60","33","36","30","199","103"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ecuador","69","74","22","7","42","11","54","13","14","11","213","114"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Egypt, Arab Rep.","64","70","33","10","63","16","86","19","20","18","186","105"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"El Salvador","63","71","23","6","46","11","60","12","14","11","293","124"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Equatorial Guinea","51","61","50","29","121","57","179","77","83","70","318","243"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eritrea","50","67","35","17","94","29","153","38","43","33","234","172"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Estonia","69","77","10","1","14","2","18","2","2","2","147","58"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eswatini","63","57","23","23","52","42","68","53","57","48","485","301"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ethiopia","45","65","59","26","120","34","201","47","52","41","264","175"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Faroe Islands","76","83","..","..","..","..","..","..","..","..","..",".."
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fiji","66","67","13","14","24","23","29","28","30","25","236","179"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Finland","75","82","4","1","6","2","7","2","2","2","92","42"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"France","77","82","4","3","8","3","9","4","5","4","93","47"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"French Polynesia","74","79","..","..","..","..","..","..","..","..","49","28"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gabon","60","66","31","19","60","29","92","40","44","36","270","182"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gambia, The","51","62","50","25","81","34","167","48","53","43","292","240"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Georgia","68","72","25","5","41","8","48","10","11","8","232","72"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Germany","75","81","3","2","7","3","9","4","4","3","85","46"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ghana","56","64","42","23","80","33","128","44","48","39","281","210"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Greece","77","80","7","2","9","3","10","4","4","3","94","43"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Greenland","65","71","..","..","..","..","..","..","..","..","198","127"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grenada","71","75","12","10","18","14","22","16","17","15","154","89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Guam","72","77","..","..","..","..","..","..","..","..","171","85"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Guatemala","62","69","28","11","60","20","80","23","25","21","240","135"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Guinea","47","59","62","31","138","64","233","99","106","91","288","254"
